Actor,Sex,Born,Died,Age,Nominations,Wins,Lead_Supporting,First_film,First_nom,Last_nom,Most_recent_win
May Robson,F,1858,1942,84,1,0,L,Lady for a Day,1933,1933,
May Whitty,F,1865,1948,82,2,0,S,Night Must Fall,1937,1942,
Albert Bassermann,M,1867,1952,84,1,0,S,Foreign Correspondent,1940,1940,
George Arliss,M,1868,1946,77,1,1,L,Disraeli,1929,1929,1929
Marie Dressler,F,1868,1934,65,2,1,L,Min and Bill,1930,1932,1930
Henry Travers,M,1874,1965,91,1,0,S,Mrs. Miniver,1942,1942,
H. B. Warner,M,1875,1958,83,1,0,S,Lost Horizon,1937,1937,
Maria Ouspenskaya,F,1876,1949,73,2,0,S,Dodsworth,1936,1939,
Charles Coburn,M,1877,1961,84,3,1,S,"More the Merrier, The (1943)",1941,1946,1943
Edmund Gwenn,M,1877,1959,81,2,1,S,Miracle on 34th Street,1947,1950,1947
Josephine Hull,F,1877,1957,80,1,1,S,Harvey,1950,1950,1950
Lionel Barrymore,M,1878,1954,76,1,1,L,"Free Soul, A",1931,1931,1930
Louise Dresser,F,1878,1965,85,1,0,L,"Ship Comes In, A",1928,1928,
Harry Carey,M,1878,1947,69,1,0,S,Mr. Smith Goes to Washington,1939,1939,
Jane Darwell,F,1879,1967,87,1,1,S,"Grapes of Wrath, The",1940,1940,1940
Ethel Barrymore,F,1879,1959,79,4,1,S,None but the Lonely Heart,1944,1949,1944
Lucile Watson,F,1879,1962,83,1,0,S,Watch on the Rhine,1943,1943,
Sydney Greenstreet,M,1879,1954,74,1,0,S,"Maltese Falcon, The",1941,1941,
Lewis Stone,M,1879,1953,73,1,0,L,"Patriot, The",1928,1928,
Sara Allgood,F,1880,1950,69,1,0,S,How Green Was My Valley,1941,1941,
Margaret Wycherly,F,1881,1956,74,1,0,S,Sergeant York,1941,1941,
Donald Crisp,M,1882,1974,91,1,1,S,How Green Was My Valley,1941,1941,1941
James Gleason,M,1882,1959,76,1,0,S,Here Comes Mr. Jordan,1941,1941,
George Bancroft,M,1882,1956,74,1,0,L,Thunderbolt,1929,1929,
Walter Huston,M,1883,1950,67,4,1,2L0:2S1,"Treasure of the Sierra Madre, The",1936,1948,1948
Edna May Oliver,F,1883,1942,59,1,0,S,Drums Along the Mohawk,1939,1939,
Emil Jannings,M,1884,1950,65,1,1,L,"Way of All Flesh, The",1927,1927,1927
Billie Burke,F,1884,1970,85,1,0,S,Merrily We Live,1938,1938,
Wallace Beery,M,1885,1949,64,2,1,L,"Champ, The",1930,1931,1931
Erich von Stroheim,M,1885,1957,71,1,0,S,Sunset Boulevard,1950,1950,
Victor McLaglen,M,1886,1959,72,2,1,1L1:1S0,"Informer, The",1935,1952,1935
Spring Byington,F,1886,1971,84,1,0,S,You Can't Take It with You,1938,1938,
Ed Wynn,M,1886,1966,79,1,0,S,"Diary of Anne Frank, The",1959,1959,
Lynn Fontanne,F,1887,1983,95,1,0,L,"Guardsman, The",1931,1931,
Roland Young,M,1887,1953,65,1,0,S,Topper,1937,1937,
Barry Fitzgerald,M,1888,1961,72,2,1,1L0:1S1,Going My Way [n 3],1944,1944,1944
Edith Evans,F,1888,1976,88,3,0,1L:2S,"Whisperers, The",1963,1967,
Gladys Cooper,F,1888,1971,82,3,0,S,"Now, Voyager",1942,1964,
Monty Woolley,M,1888,1963,74,2,0,1L:1S,"Pied Piper, The",1942,1944,
Maurice Chevalier,M,1888,1972,83,1,0,L,"Love Parade, The",1929,1929,
Warner Baxter,M,1889,1951,62,1,1,L,In Old Arizona,1928,1928,1928
Claude Rains,M,1889,1967,77,4,0,S,Mr. Smith Goes to Washington,1939,1946,
Clifton Webb,M,1889,1966,76,3,0,1L:2S,Sitting Pretty,1944,1948,
Beulah Bondi,F,1889,1981,91,2,0,S,"Gorgeous Hussy, The",1936,1938,
Marjorie Rambeau,F,1889,1970,80,2,0,S,Primrose Path,1940,1953,
Charlie Chaplin,M,1889,1977,88,1,0,L,"Great Dictator, The",1940,1940,
Sessue Hayakawa,M,1889,1973,84,1,0,S,"Bridge on the River Kwai, The",1957,1957,
James Stephenson,M,1889,1941,52,1,0,S,"Letter, The",1940,1940,
Cecil Kellaway,M,1890,1973,82,2,0,S,"Luck of the Irish, The",1948,1967,
Frank Morgan,M,1890,1949,59,2,0,1L:1S,"Affairs of Cellini, The",1934,1942,
Stanley Holloway,M,1890,1982,91,1,0,S,My Fair Lady,1964,1964,
Marjorie Main,F,1890,1975,85,1,0,S,"Egg and I, The",1947,1947,
Adolphe Menjou,M,1890,1963,73,1,0,L,"Front Page, The",1931,1931,
Jeanne Eagels,F,1890,1929,39,1,0,L,"Letter, The",1929,1929,
Paul Lukas,M,1891,1971,80,1,1,L,Watch on the Rhine,1943,1943,1943
Ronald Colman,M,1891,1958,67,3,1,L,"Double Life, A",1929,1947,1947
Charles Bickford,M,1891,1967,76,3,0,S,"Song of Bernadette, The",1943,1948,
Sam Jaffe,M,1891,1984,93,1,0,S,"Asphalt Jungle, The",1950,1950,
Gene Lockhart,M,1891,1957,65,1,0,S,Algiers,1938,1938,
Michael Chekhov,M,1891,1955,64,1,0,S,Spellbound,1945,1945,
Mary Pickford,F,1892,1979,87,1,1,L,Coquette,1929,1929,1928
Alice Brady,F,1892,1939,46,2,1,S,In Old Chicago,1936,1937,1937
Thomas Mitchell,M,1892,1962,70,2,1,S,Stagecoach,1937,1939,1939
Margaret Rutherford,F,1892,1972,80,1,1,S,"V.I.P.s, The",1963,1963,1963
William Powell,M,1892,1984,91,3,0,L,"Thin Man, The",1934,1947,
Basil Rathbone,M,1892,1967,75,2,0,S,Romeo and Juliet,1936,1938,
Ruth Chatterton,F,1892,1961,68,2,0,L,Madame X,1929,1930,
William Demarest,M,1892,1983,91,1,0,S,"Jolson Story, The",1946,1946,
Peggy Wood,F,1892,1978,86,1,0,S,"Sound of Music, The",1965,1965,
Alfred Lunt,M,1892,1977,84,1,0,L,"Guardsman, The",1931,1931,
